,time,latitude,longitude,adt,sla,ugos,ugosa,vgos,vgosa,State,year
191,1993-12-31 00:00:00,26.375,-87.375,0.1642,-0.3395,0.1774,-0.1404,0.4005,0.4041,FL,1993
192,1993-12-31 00:00:00,26.375,-87.125,0.2717,-0.2232,0.2387,-0.104,0.7051,0.7652,FL,1993
193,1993-12-31 00:00:00,26.375,-86.875,0.3536,-0.1238,0.4755,0.1255,0.3648,0.4759,FL,1993
194,1993-12-31 00:00:00,26.375,-86.625,0.4014,-0.0545,0.4346,0.0705,0.2838,0.4141,FL,1993
195,1993-12-31 00:00:00,26.375,-86.375,0.4375,0.0125,0.4094,0.0251,0.1768,0.3395,FL,1993
196,1993-12-31 00:00:00,26.375,-86.125,0.4404,0.0537,0.6261,0.2453,-0.0175,0.2039,FL,1993
197,1993-12-31 00:00:00,26.375,-85.875,0.4225,0.079,0.5575,0.2055,-0.1749,0.0597,FL,1993
198,1993-12-31 00:00:00,26.375,-85.625,0.3794,0.0715,0.6134,0.328,-0.3102,-0.1134,FL,1993
199,1993-12-31 00:00:00,26.375,-85.375,0.3214,0.0412,0.5282,0.3243,-0.4711,-0.299,FL,1993
200,1993-12-31 00:00:00,26.375,-85.125,0.2436,-0.0125,0.4022,0.2673,-0.4009,-0.2212,FL,1993
201,1993-12-31 00:00:00,26.375,-84.875,0.1981,-0.0317,0.3343,0.2375,-0.3014,-0.1501,FL,1993
202,1993-12-31 00:00:00,26.375,-84.625,0.1474,-0.0596,0.2223,0.1261,-0.1435,-0.0379,FL,1993
203,1993-12-31 00:00:00,26.375,-84.375,0.1545,-0.0389,0.0792,-0.001,0.091,0.171,FL,1993
204,1993-12-31 00:00:00,26.375,-84.125,0.1689,-0.0144,0.0011,-0.0416,0.1293,0.1787,FL,1993
205,1993-12-31 00:00:00,26.375,-83.875,0.1837,0.0094,-0.0182,-0.0475,-0.0729,0.0033,FL,1993
206,1993-12-31 00:00:00,26.375,-83.625,0.1536,-0.013,0.1002,0.0282,-0.2572,-0.1695,FL,1993
207,1993-12-31 00:00:00,26.375,-83.375,0.1259,-0.0338,0.0273,-0.0049,-0.175,-0.1161,FL,1993
208,1993-12-31 00:00:00,26.375,-83.125,0.1118,-0.0525,0.0463,0.0203,-0.0837,-0.0894,FL,1993
209,1993-12-31 00:00:00,26.375,-82.875,0.0995,-0.0641,0.0752,0.0434,-0.1123,-0.0739,FL,1993
210,1993-12-31 00:00:00,26.375,-82.625,0.0799,-0.0779,0.084,0.0515,-0.1019,-0.079,FL,1993
211,1993-12-31 00:00:00,26.375,-82.375,0.0753,-0.0878,0.0878,0.046,0.0161,-0.0427,FL,1993
212,1993-12-31 00:00:00,26.375,-82.125,0.0756,-0.0892,0.0467,0.0501,0.1121,0.0458,FL,1993
213,1993-12-31 00:00:00,26.375,-81.875,0.0822,-0.0758,-0.052,-0.0293,0.0807,0.0515,FL,1993
214,1993-12-31 00:00:00,26.375,-80.125,0.1399,0.004,0.0964,0.0191,0.6938,-0.0302,FL,1993
215,1993-12-31 00:00:00,26.375,-79.875,0.2355,0.0004,0.1128,0.0064,1.1721,-0.0472,FL,1993
216,1993-12-31 00:00:00,26.625,-97.375,0.1864,-0.0381,0.0428,0.0267,-0.0128,0.0247,TX,1993
217,1993-12-31 00:00:00,26.625,-97.125,0.1924,-0.0269,0.0103,-0.021,-0.0034,0.0441,TX,1993
218,1993-12-31 00:00:00,26.625,-96.875,0.1832,-0.0288,0.0021,-0.0225,-0.1039,-0.0694,TX,1993
219,1993-12-31 00:00:00,26.625,-96.625,0.159,-0.0477,-0.066,-0.0708,-0.1379,-0.1375,TX,1993
220,1993-12-31 00:00:00,26.625,-96.375,0.1358,-0.0727,-0.1078,-0.0969,-0.1487,-0.1781,TX,1993
221,1993-12-31 00:00:00,26.625,-96.125,0.1144,-0.1005,-0.1804,-0.1573,-0.0653,-0.1079,TX,1993
222,1993-12-31 00:00:00,26.625,-95.875,0.1202,-0.1049,-0.2127,-0.1848,0.0733,0.0258,TX,1993
223,1993-12-31 00:00:00,26.625,-95.625,0.141,-0.0948,-0.1092,-0.0834,0.1598,0.1066,TX,1993
