geoid,geoName,year,sector,establishments,employment,wages,gdp
37000,North Carolina,2016,Education and Health Services,3622,98302,4205178127,4394479153
37000,North Carolina,2017,Education and Health Services,3659,100091,4414315763,4567278453
37000,North Carolina,2019,Information,455,5307,322234187,1109594216
37000,North Carolina,2020,Information,508,5056,369288068,1210141391
37000,North Carolina,2019,Leisure and Hospitality,3862,67563,1221889995,2648837275
37000,North Carolina,2019,All Industries Total,32273,446464,18777179403,49695514818
51000,Virginia,2016,Construction,11620,102229,5712342714,12213218633
51000,Virginia,2020,Construction,11476,113854,7499420450,16054262995
51000,Virginia,2019,Financial Activities,12708,125059,11436280939,80906216710
51000,Virginia,2017,Manufacturing,2783,100457,6425792570,20464054991
51000,Virginia,2016,Natural Resources and Mining,495,4320,167494634,543649024.9
51000,Virginia,2020,Natural Resources and Mining,486,4170,190815308,762672472.8
51000,Virginia,2016,Other Services,17111,89663,4123594817,8977542010
51000,Virginia,2018,Public Administration,1442,166665,15284216093,76846345403
51000,Virginia,2020,Trade, Transportation, and Utilitie,21510,383426
51000,Virginia,2019,Other Services,17343,89671,4441373550,10032958066
51000,Virginia,2020,Other Services,17371,76453,4279897105,6982959349
51000,Virginia,2019,Professional and Business Services,33052,524330,50786547250,86525601108
51000,Virginia,2018,Natural Resources and Mining,499,4579,194021931,707231380.8
51000,Virginia,2019,Natural Resources and Mining,490,4429,202091317,750754323.2
51000,Virginia,2017,Other Services,18527,90711,4236834120,9097165403
51000,Virginia,2018,Other Services,19795,91417,4348976690,9549532438
51000,Virginia,2020,Professional and Business Services,32754,516715,52938669765,86453188178
51000,Virginia,2017,All Industries Total,140519,2284752,1.40149E+11,3.44234E+11
51000,Virginia,2019,All Industries Total,142184,2332028,1.51992E+11,3.76015E+11
51000,Virginia,2016,Financial Activities,12432,123043,10106471790,67067752365
51000,Virginia,2016,Education and Health Services,21989,316552,15583061791,20670692600
51000,Virginia,2018,Education and Health Services,21695,341470,17487639228,22755797168
51000,Virginia,2016,Information,2276,45494,4541408426,13777331677
51000,Virginia,2018,Information,2191,44438,4532458182,12821503527
51000,Virginia,2016,Leisure and Hospitality,11752,251376,5038491197,10249408862
51000,Virginia,2018,Leisure and Hospitality,11966,256126,5423786720,11332550208
51000,Virginia,2018,Manufacturing,2827,104269,6772154999,20988736654
51000,Virginia,2020,Manufacturing,2783,103831,7110173364,20818930871
51000,Virginia,2017,Trade Transportation and Utilities,22118,400552,17719908131,43656962266
51000,Virginia,2018,Financial Activities,12567,124362,10970188920,72387711530
51000,Virginia,2020,Financial Activities,12906,121904,12290802128,78750587191
51000,Virginia,2020,Leisure and Hospitality,12170,201742,4666516129,10072842990
51000,Virginia,2016,Manufacturing,2792,100021,6165164198,19506356698
13000,Georgia,2016,Financial Activities,1625,8417,437849681,2731347716
13000,Georgia,2017,Information,170,2493,106670388,489486568.2
13000,Georgia,2016,Leisure and Hospitality,1909,39238,732339037,1454434453
13000,Georgia,2019,Manufacturing,441,23794,1981919840,5312009707
13000,Georgia,2017,Professional and Business Services,2258,24893,1068468622,1823605632
13000,Georgia,2017,Trade Transportation and Utilities,3481,55329,2122080363,5363636661
13000,Georgia,2016,Manufacturing,443,21657,1696834080,4544094768
13000,Georgia,2018,Natural Resources and Mining,104,590,26094704,119940146.8
13000,Georgia,2017,Other Services,1045,6899,223140439,644744988.2
13000,Georgia,2018,Other Services,1028,6969,230536348,668370828
13000,Georgia,2017,Public Administration,221,17392,962480845,6760735779
13000,Georgia,2018,Public Administration,215,16981,996080733,6951097116
13000,Georgia,2020,Trade, Transportation, and Utilitie,3669,57221
13000,Georgia,2017,Manufacturing,427,22084,1771123878,4726469113
13000,Georgia,2016,Natural Resources and Mining,112,640,28174819,108936577.1
13000,Georgia,2017,Natural Resources and Mining,99,573,25309169,106810276.1
13000,Georgia,2019,Other Services,1022,7405,260691807,744247627.3
13000,Georgia,2020,Other Services,1079,6777,258949032,759893185.6
13000,Georgia,2019,Public Administration,218,17311,1044110212,7345430918
13000,Georgia,2020,Public Administration,214,17751,1092736506,1101734387
13000,Georgia,2018,Trade, Transportation, and Utilitie,3474,57381
13000,Georgia,2019,Trade, Transportation, and Utilitie,3485,57908
13000,Georgia,2016,All Industries Total,15385,240174,10161316632,26545716883
13000,Georgia,2018,All Industries Total,14230,249990,11322637045,30110250148
13000,Georgia,2016,Construction,1265,8592,399234174,915913027.9
13000,Georgia,2018,Construction,1130,9766,494288605,1179032914
13000,Georgia,2020,Construction,1254,10746,601222085,1515301842
13000,Georgia,2018,Financial Activities,1375,8473,478765231,3316721684
13000,Georgia,2020,Financial Activities,1486,8353,558704943,3784812462
13000,Georgia,2018,Education and Health Services,1670,46299,2303736923,2332238067
13000,Georgia,2020,Education and Health Services,1800,45056,2416146468,2312423867
13000,Georgia,2018,Information,174,2236,111673986,483601972.1
13000,Georgia,2020,Information,185,2178,111968661,479690372.8
13000,Georgia,2020,Leisure and Hospitality,2073,34199,717896831,1464202031
13000,Georgia,2020,All Industries Total,15363,243239,11726078223,30162402062
